Equipa:Boavista FC,1903-08-01
Medio:Fábio Espinho,33,1,75,3,66,82,76,83,81,58,68,44,23,46,54,58,60,60,11,11,10
Defesa:Ricardo Costa,38,2,74,2,63,65,92,45,77,32,91,55,53,43,44,19,15,19,54,62,66
Medio:Idris,34,3,74,2,76,65,84,81,57,89,75,19,13,21,52,24,27,23,9,16,16
ST:Heriberto Tavares,22,4,79,1,79,75,75,82,56,74,63,53,28,31,37,65,58,53,14,6,6
ST:Mateus,35,5,72,3,71,72,76,74,55,65,70,55,24
Medio:Bueno,31,6,72,3,74,79,53,34,57,77,36,58,48,37,34,15,15,16,12,11,6
Guarda-Redes:Bracali,38,7,72,1,45,79,31,69,17,29,21,5,37,12,21,31,32,36,6,8,13
Medio:Gustavo Sauer,26,8,72,3,70,73,64,82,66,59,42,55,26,42,48,12,16,17,12,6,14
Medio:Perdigão,27,9,72,3,68,75,41,67,64,71,58,33,16,48,41,54,30,37,14,11,9
Lateral:Carraça,26,10,74,1,74,71,77,79,78,65,69,80,77,73,79,60,53,50,8,10,14
Guarda-Redes:Helton Leite,28,11,73,1,51,42,25,53,13,22,11,46,75,69,67,55,58,55,7,14,12
Defesa:Neris,27,12,72,2,60,68,72,90,34,83,67,22,65,46,52,68,27,12,18,87,92
Medio:N. Obiora,27,13,71,2,74,85,88,88,58,82,65,29,64,63,45,82,55,83,77,78,77
Medio:Rafael Costa,28,14,71,3,73,60,78,55,80,69,77,65,52,61,64,88,86,86,9,11,7
Lateral:Edu Machado,29,15,71,3,71,73,75,62,36,76,69,61,41,36,37,82,85,59,84,74,78
ST:Y. Njie,25,16,75,3,59,73,60,74,73,61,58,56,58,65,45,75,85,85,80,9,11
Defesa:Lucas Tagliapietra,28,17,70,2,38,53,68,91,21,76,69,53,56,46,65,84,68,80,55,59,63
ST:N. Stojiljković,26,18,70,3,71,71,69,70,63,73,41,60,60,40,55,37,14,20,4,5,4
Defesa:Marlon,22,19,77,3,56,60,70,64,35,65,64,39,30,63,54,83,58,39,30,11,13
ST:Cassiano,30,20,67,2,72,63,41,71,61,61,14,15,54,22,58,80,55,74,58,53,44
ST:I. Bulos,26,21,68,3,67,70,65,80,58,52,24,45,45,23,45,78,49,75,79,83,81
Defesa:G. Dulanto,23,22,72,2,50,31,61,91,28,64,62,52,52,66,39,86,83,83,14,13,14
Defesa:W. Clar,24,23,70,2,29,61,76,64,28,75,57,60,54,55,44,75,81,82,67,6,10
Medio:F. Cardozo,18,24,73,4,73,40,73,57,38,52,17,54,55,58,52,20,14,18,79,82,78
Guarda-Redes:João Gonçalves,18,25,73,1,43,45,20,54,8,24,12,52,34,50,47,84,77,68,82,30,42
